date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:49	2673/2673	---M--	200	added ('OK')	image/png	etag:%228a79b-a71-4fb0858711359%22	http://naus.sa.utoronto.ca/wp-content/plugins/events-calendar/images/shadow3.png	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/wp-content/plugins/events-calendar/images/shadow3.png	(from http://naus.sa.utoronto.ca/wp-content/plugins/events-calendar/css/events-calendar.css)
12:44:50	4216/4216	---M--	200	added ('OK')	image/png	etag:%228a79a-1078-4fb08587103c0%22	http://naus.sa.utoronto.ca/wp-content/plugins/events-calendar/images/shadow2.png	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/wp-content/plugins/events-calendar/images/shadow2.png	(from http://naus.sa.utoronto.ca/wp-content/plugins/events-calendar/css/events-calendar.css)
12:44:53	703/703	---M-Z	200	added ('OK')	text/xml	etag:%229e9685a7599e4db7cd40aff3de6405ad%22	http://naus.sa.utoronto.ca/about/feed/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/about/feed/index.html	(from http://naus.sa.utoronto.ca/about/)
12:44:53	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Feb%202015%2017:44:51%20GMT	http://naus.sa.utoronto.ca/?p=2	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/index905b.html	(from http://naus.sa.utoronto.ca/about/)
12:44:56	728/728	---M-Z	200	added ('OK')	text/xml	etag:%229e9685a7599e4db7cd40aff3de6405ad%22	http://naus.sa.utoronto.ca/past-tests/feed/	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/past-tests/feed/index.html	(from http://naus.sa.utoronto.ca/past-tests/)
12:44:57	92199/92199	---M--	200	added ('OK')	application/pdf	etag:%22f5290852923cf41fed9f2968ea4543ac%22	http://naus.sa.utoronto.ca/files/2011/01/constitution_1011.pdf	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2011/01/constitution_1011.pdf	(from http://naus.sa.utoronto.ca/about/)
12:44:59	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Feb%202015%2017:44:57%20GMT	http://naus.sa.utoronto.ca/?p=6	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/index42dc.html	(from http://naus.sa.utoronto.ca/past-tests/)
12:45:00	18968/18968	---M--	200	added ('OK')	application/pdf	etag:%2260b1efe70024ca4884dfc4dc310ce3aa%22	http://naus.sa.utoronto.ca/files/2010/11/nrs201-midtermreview.pdf	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2010/11/nrs201-midtermreview.pdf	(from http://naus.sa.utoronto.ca/past-tests/)
12:45:03	38867/38867	---M--	200	added ('OK')	application/pdf	etag:%220849f9560b8ff7b40ea1113f10e1700a%22	http://naus.sa.utoronto.ca/files/2010/11/nrs201-2004.pdf	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2010/11/nrs201-2004.pdf	(from http://naus.sa.utoronto.ca/past-tests/)
12:45:06	45094/45094	---M--	200	added ('OK')	application/pdf	etag:%220d504b437f27c81b84eff3c4b148889a%22	http://naus.sa.utoronto.ca/files/2010/11/nrs201-2003.pdf	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2010/11/nrs201-2003.pdf	(from http://naus.sa.utoronto.ca/past-tests/)
12:45:07	39542/39542	---M--	200	added ('OK')	application/pdf	etag:%22f7b148a12d81cd387b2f63f372cd6f1b%22	http://naus.sa.utoronto.ca/files/2010/11/nrs201-2002.pdf	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2010/11/nrs201-2002.pdf	(from http://naus.sa.utoronto.ca/past-tests/)
12:45:10	31232/31232	---M--	200	added ('OK')	application/msword	etag:%22c63cf14f4bd9b6ed0bbf77d6d7e44ae5%22	http://naus.sa.utoronto.ca/files/2010/11/hmb200-2008.doc	C:/My%20Web%20Sites/NAUS%20old%20website/naus.sa.utoronto.ca/files/2010/11/hmb200-2008.doc	(from http://naus.sa.utoronto.ca/past-tests/)
